Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Córdoba;Extranjeros;Nacidos en Asia;6
Córdoba;Extranjeros;Nacidos en Oceanía;18
Granada;Total;Total;2.749
Granada;Total;Nacidos en España;666
Granada;Total;Nacidos en la UE27_2020;671
Granada;Total;Nacidos en el resto de Europa;214
Granada;Total;Nacidos en África;672
Granada;Total;Nacidos en América;453
Granada;Total;Nacidos en Asia;71
Granada;Total;Nacidos en Oceanía;2
Granada;Españoles;Total;801
Granada;Españoles;Nacidos en España;595
Granada;Españoles;Nacidos en la UE27_2020;30
Granada;Españoles;Nacidos en el resto de Europa;15
Granada;Españoles;Nacidos en África;55
Granada;Españoles;Nacidos en América;102
Granada;Españoles;Nacidos en Asia;4
Granada;Españoles;Nacidos en Oceanía;0
Granada;Extranjeros;Total;1.948
Granada;Extranjeros;Nacidos en España;71
Granada;Extranjeros;Nacidos en la UE27_2020;641
Granada;Extranjeros;Nacidos en el resto de Europa;199
Granada;Extranjeros;Nacidos en África;617
Granada;Extranjeros;Nacidos en América;351
Granada;Extranjeros;Nacidos en Asia;67
Granada;Extranjeros;Nacidos en Oceanía;2
Huelva;Total;Total;1.567
Huelva;Total;Nacidos en España;222
Huelva;Total;Nacidos en la UE27_2020;636
Huelva;Total;Nacidos en el resto de Europa;50
Huelva;Total;Nacidos en África;468
Huelva;Total;Nacidos en América;171
Huelva;Total;Nacidos en Asia;19
Huelva;Total;Nacidos en Oceanía;1
Huelva;Españoles;Total;245
Huelva;Españoles;Nacidos en España;168
Huelva;Españoles;Nacidos en la UE27_2020;11
Huelva;Españoles;Nacidos en el resto de Europa;1
Huelva;Españoles;Nacidos en África;27
Huelva;Españoles;Nacidos en América;37
Huelva;Españoles;Nacidos en Asia;1
Huelva;Españoles;Nacidos en Oceanía;0
Huelva;Extranjeros;Total;1.322
Huelva;Extranjeros;Nacidos en España;54
Huelva;Extranjeros;Nacidos en la UE27_2020;625
Huelva;Extranjeros;Nacidos en el resto de Europa;49
Huelva;Extranjeros;Nacidos en África;441
